id,rank_idx,title,rating,rating_count,quote,link,director,year,created_at
206,206,疯狂的麦克斯4：狂暴之路,8.7,618063,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/,乔治·米勒 George Miller,2015,2026-03-09 17:54:01
207,207,白日梦想家,8.6,645832,,https://movie.douban.com/subject/2133323/,本·斯蒂勒 Ben Stiller,2013,2026-03-09 17:54:01
208,208,你看起来好像很好吃,8.9,375502,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/,藤森雅也 Masaya Fujimori,2010,2026-03-09 17:54:01
209,209,可可西里,8.9,346141,坚硬的信仰。,https://movie.douban.com/subject/1308857/,陆川 Chuan Lu,2004,2026-03-09 17:54:01
210,210,贫民窟的百万富翁,8.6,806540,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,2026-03-09 17:54:01
211,211,爱乐之城,8.4,1110448,,https://movie.douban.com/subject/25934014/,达米恩·查泽雷 Damien Chazelle,2016,2026-03-09 17:54:01
212,212,波西米亚狂想曲,8.6,689470,,https://movie.douban.com/subject/5300054/,布莱恩·辛格 Bryan Singer,2018,2026-03-09 17:54:01
213,213,城市之光,9.3,172697,,https://movie.douban.com/subject/1293908/,查理·卓别林 Charles Chaplin,1931,2026-03-09 17:54:01
214,214,爆裂鼓手,8.6,690396,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/,达米恩·查泽雷 Damien Chazelle,2014,2026-03-09 17:54:01
215,215,东邪西毒,8.6,635093,,https://movie.douban.com/subject/1292328/,王家卫 Kar Wai Wong,1994,2026-03-09 17:54:01
216,216,青蛇,8.6,600808,,https://movie.douban.com/subject/1303394/,徐克 Hark Tsui,1993,2026-03-09 17:54:01
217,217,哈利·波特与死亡圣器(上),8.6,695066,最忠于原著的一部。,https://movie.douban.com/subject/2051007/,大卫·叶茨 David Yates,2010,2026-03-09 17:54:01
218,218,无耻混蛋,8.7,561598,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺 Quentin Tarantino,2009,2026-03-09 17:54:01
219,219,终结者2：审判日,8.8,385484,,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron,1991,2026-03-09 17:54:01
220,220,大红灯笼高高挂,8.8,371145,,https://movie.douban.com/subject/1293323/,张艺谋 Yimou Zhang,1991,2026-03-09 17:54:01
221,221,黑天鹅,8.6,846485,黑暗之美。,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,2026-03-09 17:54:01
222,222,新龙门客栈,8.7,509349,,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee,1992,2026-03-09 17:54:01
223,223,初恋这件小事,8.5,1051294,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭,2010,2026-03-09 17:54:01
224,224,人工智能,8.7,502032,,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg,2001,2026-03-09 17:54:01
225,225,千钧一发,8.8,349984,,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol,1997,2026-03-09 17:54:01
226,226,崖上的波妞,8.6,574980,,https://movie.douban.com/subject/1959877/,宫崎骏 Hayao Miyazaki,2008,2026-03-09 17:54:01
227,227,雨人,8.7,442868,,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson,1988,2026-03-09 17:54:01
228,228,虎口脱险,8.9,296032,,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury,1966,2026-03-09 17:54:01
229,229,哈利·波特与凤凰社,8.6,694839,,https://movie.douban.com/subject/1457217/,大卫·叶茨 David Yates,2007,2026-03-09 17:54:01
230,230,彗星来的那一夜,8.6,683587,小成本大魅力。,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,2026-03-09 17:54:01
231,231,罗生门,8.8,358043,,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa,1950,2026-03-09 17:54:01
232,232,海边的曼彻斯特,8.6,651950,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根 Kenneth Lonergan,2016,2026-03-09 17:54:01
233,233,恋恋笔记本,8.5,747577,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes,2004,2026-03-09 17:54:01
